"Rec_id","Datum","Kod","LnNo","PorNo","EvCislo","Vozovna","FyzAdresa","A","B","C","D","E","F","G","H","Zapsano"
"07220046872","07/07/2012 22:00:46","V+",57,1,"8649",5,"270709",0,0,0,0,,,,,0
"07220046873","07/07/2012 22:00:46","PP",57,1,"8649",5,"270709",0,0,0,0,"3BE","030712","00BD","0002",0
"07220046874","07/07/2012 22:00:46","P+",57,1,"8649",5,"270709",0,0,0,0,"5011","457",,,0
"07223521875","07/07/2012 22:35:21","V+",57,2,"8634",5,"270397",0,0,0,0,,,,,0
"07223521876","07/07/2012 22:35:21","PP",57,2,"8634",5,"270397",0,0,0,0,"3BE","030712","00BD","0002",0
"07223521877","07/07/2012 22:35:21","P+",57,2,"8634",5,"270397",0,0,0,0,"5011","457",,,0
"07224409878","07/07/2012 22:44:09","MK",57,1,"8649",5,"270709",2650,3,9,0,,"11",,,0
"07224431879","07/07/2012 22:44:31","Z ",57,1,"8649",5,"270709",1108,2,-29,1,,,,,0
"07224548880","07/07/2012 22:45:48","Z ",57,1,"8649",5,"270709",713,1,-12,1,,,,,0
"07224607881","07/07/2012 22:46:07","MK",57,1,"8649",5,"270709",713,1,7,0,,"11",,,0
"07224724882","07/07/2012 22:47:24","Z ",57,1,"8649",5,"270709",605,1,24,1,,,,,0
"07224846883","07/07/2012 22:48:46","Z ",57,1,"8649",5,"270709",473,1,-14,1,,,,,0
"07224904884","07/07/2012 22:49:04","MK",57,1,"8649",5,"270709",473,1,4,0,,"11",,,0
"07225013885","07/07/2012 22:50:13","Z ",57,1,"8649",5,"270709",680,1,-47,1,,,,,0
"07225141886","07/07/2012 22:51:41","Z ",57,1,"8649",5,"270709",269,1,-79,1,,,,,0
"07225211887","07/07/2012 22:52:11","M ",57,1,"8649",5,"270709",269,1,-49,0,,"11",,,1
"07225452888","07/07/2012 22:54:52","Z ",57,1,"8649",5,"270709",391,1,-8,1,,,,,0
"07225510889","07/07/2012 22:55:10","MK",57,1,"8649",5,"270709",391,1,10,0,,"11",,,0
"07225658890","07/07/2012 22:56:58","Z ",57,1,"8649",5,"270709",627,1,-2,1,,,,,0
"07225838891","07/07/2012 22:58:38","Z ",57,1,"8649",5,"270709",354,1,-22,1,,,,,0
"07225951892","07/07/2012 22:59:51","V+",59,1,"8734",8,"270501",0,0,0,0,,,,,0
"07225951893","07/07/2012 22:59:51","PP",59,1,"8734",8,"270501",0,0,0,0,"3BE","220612","00BD","0002",0
"07225951894","07/07/2012 22:59:51","P+",59,1,"8734",8,"270501",0,0,0,0,"9059","459",,,0
"07230031895","07/07/2012 23:00:31","Z ",57,1,"8649",5,"270709",476,1,-29,1,,,,,0
"07230257896","07/07/2012 23:02:57","Z ",57,1,"8649",5,"270709",190,1,-3,1,,,,,0
"07230329897","07/07/2012 23:03:29","M ",57,1,"8649",5,"270709",190,1,29,0,,"11",,,0
"07230532898","07/07/2012 23:05:32","Z!",59,1,"8734",8,"270501",957,4,,0,,,,,0
"07230542899","07/07/2012 23:05:42","Z ",57,1,"8649",5,"270709",739,1,42,1,,,,,0
"07230556900","07/07/2012 23:05:56","MK",57,1,"8649",5,"270709",739,1,56,0,,"11",,,0
"07230640901","07/07/2012 23:06:40","Z ",57,1,"8649",5,"270709",237,3,40,1,,,,,0
"07230913902","07/07/2012 23:09:13","Z ",57,1,"8649",5,"270709",5997,4,73,1,,,,,0
"07230952903","07/07/2012 23:09:52","Z ",57,1,"8649",5,"270709",539,2,52,1,,,,,0
"07231035904","07/07/2012 23:10:35","MK",57,1,"8649",5,"270709",539,2,95,0,,"11",,,0
"07231111905","07/07/2012 23:11:11","Z ",57,2,"8634",5,"270397",2650,3,-169,1,,,,,0
"07231130906","07/07/2012 23:11:30","Z ",57,1,"8649",5,"270709",483,2,90,1,,,,,0
"07231320907","07/07/2012 23:13:20","Z ",57,1,"8649",5,"270709",809,4,80,1,,,,,0
"07231349908","07/07/2012 23:13:49","MK",57,1,"8649",5,"270709",809,4,109,0,,"11",,,0
"07231443909","07/07/2012 23:14:43","MK",57,2,"8634",5,"270397",2650,3,43,0,,"11",,,0
"07231456910","07/07/2012 23:14:56","Z ",57,1,"8649",5,"270709",138,2,116,1,,,,,0
"07231505911","07/07/2012 23:15:05","Z ",57,2,"8634",5,"270397",1108,2,5,1,,,,,0
"07231554912","07/07/2012 23:15:54","Z ",57,2,"8634",5,"270397",713,1,-6,1,,,,,0
"07231616913","07/07/2012 23:16:16","Z ",57,1,"8649",5,"270709",361,2,76,1,,,,,0
"07231621914","07/07/2012 23:16:21","MK",57,2,"8634",5,"270397",713,1,21,0,,"11",,,0
