"Rec_id","Datum","Kod","LnNo","PorNo","EvCislo","Vozovna","FyzAdresa","A","B","C","D","E","F","G","H","Zapsano"
"09230632101","07/09/2012 23:06:32","V+",59,1,"8745",8,"270173",0,0,0,0,,,,,0
"09230632102","07/09/2012 23:06:32","PP",59,1,"8745",8,"270173",0,0,0,0,"3BE","090712","00BD","0002",0
"09230632103","07/09/2012 23:06:32","P+",59,1,"8745",8,"270173",0,0,0,0,"9059","59",,,0
"09231232104","07/09/2012 23:12:32","Z!",59,1,"8745",8,"270173",957,4,,0,,,,,0
"09231456105","07/09/2012 23:14:56","V+",59,5,"8681",3,"270936",0,0,0,0,,,,,0
"09231456106","07/09/2012 23:14:56","PP",59,5,"8681",3,"270936",0,0,0,0,"3BE","040712","00BD","0002",0
"09231456107","07/09/2012 23:14:56","P+",59,5,"8681",3,"270936",0,0,0,0,"9559","459",,,0
"09232032108","07/09/2012 23:20:32","Z!",59,5,"8681",3,"270936",807,2,,0,,,,,0
"09232112109","07/09/2012 23:21:12","Z ",59,1,"8745",8,"270173",957,3,12,1,,,,,0
"09232117110","07/09/2012 23:21:17","M ",59,1,"8745",8,"270173",957,3,17,0,,"FA",,,0
"09232155111","07/09/2012 23:21:55","Z ",59,1,"8745",8,"270173",184,3,55,1,,,,,0
"09232246112","07/09/2012 23:22:46","Z ",59,1,"8745",8,"270173",319,1,46,1,,,,,0
"09232325113","07/09/2012 23:23:25","Z ",59,1,"8745",8,"270173",1044,1,25,1,,,,,0
"09232434114","07/09/2012 23:24:34","Z ",59,1,"8745",8,"270173",302,1,34,1,,,,,0
"09232445115","07/09/2012 23:24:45","M ",59,1,"8745",8,"270173",302,1,45,0,,"11",,,0
"09232548116","07/09/2012 23:25:48","V+",56,4,"8557",1,"271025",0,0,0,0,,,,,0
"09232548117","07/09/2012 23:25:48","PP",56,4,"8557",1,"271025",0,0,0,0,"3BE","090712","00BD","0002",0
"09232548118","07/09/2012 23:25:48","P+",56,4,"8557",1,"271025",0,0,0,0,"9156","456",,,0
"09232640119","07/09/2012 23:26:40","V+",52,1,"8559",1,"270869",0,0,0,0,,,,,0
"09232441120","07/09/2012 23:24:41","Z ",52,1,"8559",1,"270869",72,2,-10279,0,,,,,0
"09232640121","07/09/2012 23:26:40","PP",52,1,"8559",1,"270869",0,0,0,0,"3BE","090712","00BD","0002",0
