"Rec_id","Zast_id","Name_short","Zkratka","Typ","Sloupky","Zapsano"
"31074011001",0,"(?)","(?)",,,0
"31074011002",2,"Na Knížecí","nKn","M","05=0241,06=0240,",0
"31074011003",4,"Arbesovo nám.","ArN",,"01=0008,02=0007,",0
"31074011004",7,"ČSAD Smíchov","ČSm",,"01=0054,02=0053,",0
"31074012005",12,"Balabenka","Bal",,"01=0011,02=0009,03=0010,",0
"31074012006",15,"Baterie","Bat","K","01=0013M,02=0012M,",0
"31074012007",19,"Belárie","Bel",,"01=0605,02=0604,",0
"31074012008",20,"Král. letohrádek","KLe","K","01=0014,02=0015,",0
"31074012009",25,"Bertramka","Ber",,"01=0017,02=0016,",0
"31074012010",31,"Bílá Hora","BíH","S","01=0020MN,02=0516MV,03=0625N,04=0626V,",0
"31074012011",32,"Bílá labuť","BíL",,"01=0021,02=0022,03=0452,",0
"31074012012",34,"Biskupcova","Bis",,"01=0019M,02=0018M,",0
"31074012013",40,"Bořislavka","Boř",,"01=0026,02=0025,",0
"31074012014",42,"Botanická zahr.","BoZ",,"01=0027,02=0028,",0
"31074012015",45,"Bruselská","Bru",,"01=0029,02=0030,",0
"31074012016",46,"Brusnice","Brs",,"01=0031M,02=0032M,",0
"31074012017",47,"Blatiny","Bla",,"01=0024M,02=0023M,",0
"31074012018",49,"Geologická","Geo",,"04=0691M,05=0690M,",0
"31074012019",54,"Bulovka","Bul",,"01=0035,02=0036,",0
"31074012020",67,"Čechovo nám.","ČeN","S","02=0037M,03=0665,04=0514M,05=0679,08=0288VF,",0
"31074012021",68,"Čechův most","ČeM",,"01=0038,02=0039,",0
"31074012022",70,"Černokostelecká","Čks","K","01=0041M,02=0042M,",0
"31074012023",71,"Černý kůň","ČeK",,"01=0603,02=0602,",0
"31074012024",72,"Lehovec","Leh","S","01=0186MN,02=0520V,03=0628N,",0
"31074012025",73,"Červený Vrch","ČeV","S","01=0045,02=0044M,03=0629MN,04=0163VF,05=0630N,",0
"31074012026",75,"Kolbenova","Kol","M","01=0052,02=0051,",0
"31074012027",76,"Modřanská škola","MŠk",,"01=0607,02=0606,",0
"31074012028",78,"Ládví","Lád","KM","01=0184M,02=0185M,",0
"31074012029",81,"Dělnická","Děl",,"01=0059,02=0058,",0
"31074012030",83,"Div. Na Fidlov.","DnF",,"01=0061,02=0062,",0
"31074012031",85,"Divoká Šárka","DiŠ","S","01=0063MN,02=0517V,03=0631N,04=0632V,",0
