"Rec_id","Datum","Kod","LnNo","PorNo","EvCislo","Vozovna","FyzAdresa","A","B","C","D","E","F","G","H","Zapsano"
"12230206772","07/12/2012 23:02:06","V+",59,1,"8713",8,"270478",0,0,0,0,,,,,0
"12230206773","07/12/2012 23:02:06","PP",59,1,"8713",8,"270478",0,0,0,0,"3BE","090712","00BD","0002",0
"12230206774","07/12/2012 23:02:06","P+",59,1,"8713",8,"270478",0,0,0,0,"9059","59",,,0
"12230732775","07/12/2012 23:07:32","Z!",59,1,"8713",8,"270478",957,4,,0,,,,,0
"12231438776","07/12/2012 23:14:38","V+",59,5,"8674",3,"270611",0,0,0,0,,,,,0
"12231438777","07/12/2012 23:14:38","PP",59,5,"8674",3,"270611",0,0,0,0,"3BE","090712","00BD","0002",0
"12231438778","07/12/2012 23:14:38","P+",59,5,"8674",3,"270611",0,0,0,0,"459","459",,,0
"12231508779","07/12/2012 23:15:08","PP",59,5,"8674",3,"270611",0,0,0,0,"3BE","090712","00BD","0002",0
"12231508780","07/12/2012 23:15:08","P+",59,5,"8674",3,"270611",0,0,0,0,"9559","459",,,0
"12231623781","07/12/2012 23:16:23","V+",51,1,"8161",7,"270744",0,0,0,0,,,,,0
"12231446782","07/12/2012 23:14:46","Z ",51,1,"8161",7,"270744",85,2,-9254,0,,,,,0
"12231623783","07/12/2012 23:16:23","PP",51,1,"8161",7,"270744",0,0,0,0,"3BE","110712","00BD","0002",0
"12231623784","07/12/2012 23:16:23","P+",51,1,"8161",7,"270744",0,0,0,0,"651","651",,,0
"12231915785","07/12/2012 23:19:15","Z ",59,5,"8674",3,"270611",807,1,-705,1,,,,,0
"12232041786","07/12/2012 23:20:41","Z ",59,1,"8713",8,"270478",957,3,-19,1,,,,,0
"12232108787","07/12/2012 23:21:08","M ",59,1,"8713",8,"270478",957,3,8,0,,"FA",,,0
"12232137788","07/12/2012 23:21:37","Z ",59,1,"8713",8,"270478",184,3,37,1,,,,,0
"12232235789","07/12/2012 23:22:35","Z ",59,1,"8713",8,"270478",319,1,35,1,,,,,0
"12232332790","07/12/2012 23:23:32","Z ",59,1,"8713",8,"270478",1044,1,32,1,,,,,0
"12232438791","07/12/2012 23:24:38","Z ",59,1,"8713",8,"270478",302,1,38,1,,,,,0
"12232449792","07/12/2012 23:24:49","M ",59,1,"8713",8,"270478",302,1,49,0,,"11",,,0
"12232601793","07/12/2012 23:26:01","V+",53,1,"8430",2,"270954",0,0,0,0,,,,,0
"12232448794","07/12/2012 23:24:48","Z ",53,1,"8430",2,"270954",651,2,-10152,0,,,,,0
"12232601795","07/12/2012 23:26:01","PP",53,1,"8430",2,"270954",0,0,0,0,"3BE","110712","00BD","0002",0
"12232601796","07/12/2012 23:26:01","P+",53,1,"8430",2,"270954",0,0,0,0,"53","53",,,0
"12232628797","07/12/2012 23:26:28","Z ",59,1,"8713",8,"270478",5002,9,-32,1,,,,,0
"12232727798","07/12/2012 23:27:27","V+",52,1,"8558",1,"271051",0,0,0,0,,,,,0
"12232605799","07/12/2012 23:26:05","Z ",52,1,"8558",1,"271051",72,2,-20995,0,,,,,0
"12232727800","07/12/2012 23:27:27","PP",52,1,"8558",1,"271051",0,0,0,0,"3BE","090712","00BD","0002",0
"12232727801","07/12/2012 23:27:27","P+",52,1,"8558",1,"271051",0,0,0,0,"52","52",,,0
"12232741802","07/12/2012 23:27:41","V+",56,4,"8344",7,"270822",0,0,0,0,,,,,0
"12232741803","07/12/2012 23:27:41","PP",56,4,"8344",7,"270822",0,0,0,0,"3BE","110712","00BD","0002",0
"12232741804","07/12/2012 23:27:41","P+",56,4,"8344",7,"270822",0,0,0,0,"9156","9156",,,0
"12232801805","07/12/2012 23:28:01","Z ",59,1,"8713",8,"270478",5040,3,-59,1,,,,,0
"12232914806","07/12/2012 23:29:14","MK",59,1,"8713",8,"270478",5040,3,14,0,,"11",,,0
"12232940807","07/12/2012 23:29:40","Z ",59,1,"8713",8,"270478",1040,2,-20,1,,,,,0
"12233011808","07/12/2012 23:30:11","MK",59,1,"8713",8,"270478",1040,2,11,0,,"11",,,0
"12233107809","07/12/2012 23:31:07","M ",59,5,"8674",3,"270611",807,1,7,0,,"11",,,0
"12233153810","07/12/2012 23:31:53","Z ",59,5,"8674",3,"270611",404,1,-7,1,,,,,0
"12233159811","07/12/2012 23:31:59","Z ",59,1,"8713",8,"270478",25,2,-1,1,,,,,0
"12233255812","07/12/2012 23:32:55","Z ",59,5,"8674",3,"270611",358,1,-5,1,,,,,0
"12233300813","07/12/2012 23:33:00","Z ",59,1,"8713",8,"270478",805,2,0,1,,,,,0
"12233332814","07/12/2012 23:33:32","Z!",56,4,"8344",7,"270822",866,2,,0,,,,,0
"12233355815","07/12/2012 23:33:55","Z ",59,5,"8674",3,"270611",1071,11,-5,1,,,,,0
"12233414816","07/12/2012 23:34:14","Z ",59,1,"8713",8,"270478",254,2,14,1,,,,,0
"12233444817","07/12/2012 23:34:44","Z ",59,5,"8674",3,"270611",70,1,-16,1,,,,,0
"12233509818","07/12/2012 23:35:09","MK",59,5,"8674",3,"270611",70,1,9,0,,"11",,,0
"12233527819","07/12/2012 23:35:27","Z ",59,1,"8713",8,"270478",240,2,27,1,,,,,0
"12233551820","07/12/2012 23:35:51","Z ",59,5,"8674",3,"270611",496,1,-9,1,,,,,0
"12233556821","07/12/2012 23:35:56","M ",59,1,"8713",8,"270478",240,2,56,0,,"11",,,0
"12233637822","07/12/2012 23:36:37","Z ",59,5,"8674",3,"270611",900,1,-23,1,,,,,0
"12233657823","07/12/2012 23:36:57","Z ",59,1,"8713",8,"270478",289,2,57,1,,,,,0
"12233714824","07/12/2012 23:37:14","M ",59,1,"8713",8,"270478",289,2,74,0,,"11",,,0
"12233732825","07/12/2012 23:37:32","Z ",59,5,"8674",3,"270611",690,1,-28,1,,,,,0
"12233803826","07/12/2012 23:38:03","Z ",59,1,"8713",8,"270478",580,2,3,1,,,,,0
"12233802827","07/12/2012 23:38:02","M ",59,5,"8674",3,"270611",690,1,2,0,,"11",,,0
"12233830828","07/12/2012 23:38:30","M ",59,1,"8713",8,"270478",580,2,30,0,,"11",,,0
"12233838829","07/12/2012 23:38:38","Z ",56,4,"8344",7,"270822",866,1,-22,1,,,,,0
"12233854830","07/12/2012 23:38:54","Z ",59,5,"8674",3,"270611",848,1,-6,1,,,,,0
"12233905831","07/12/2012 23:39:05","V+",54,5,"8366",1,"270857",0,0,0,0,,,,,0
"12233818832","07/12/2012 23:38:18","Z ",54,5,"8366",1,"270857",1019,2,-12822,0,,,,,0
"12233905833","07/12/2012 23:39:05","PP",54,5,"8366",1,"270857",0,0,0,0,"3BE","090712","00BD","0002",0
"12233905834","07/12/2012 23:39:05","P+",54,5,"8366",1,"270857",0,0,0,0,"54","54",,,0
"12233903835","07/12/2012 23:39:03","M ",56,4,"8344",7,"270822",866,1,3,0,,"11",,,0
"12233909836","07/12/2012 23:39:09","Z ",59,1,"8713",8,"270478",567,2,9,1,,,,,0
"12233929837","07/12/2012 23:39:29","M ",59,1,"8713",8,"270478",567,2,29,0,,"11",,,0
"12233935838","07/12/2012 23:39:35","Z ",59,5,"8674",3,"270611",299,1,-25,1,,,,,0
"12233954839","07/12/2012 23:39:54","Z ",56,4,"8344",7,"270822",433,1,-6,1,,,,,0
