"Rec_id","Datum","Kod","LnNo","PorNo","EvCislo","Vozovna","FyzAdresa","A","B","C","D","E","F","G","H","Zapsano"
"30225024730","07/30/2012 22:50:24","V+",57,4,"8185",7,"270716",0,0,0,0,,,,,0
"30225024731","07/30/2012 22:50:24","PP",57,4,"8185",7,"270716",0,0,0,0,"3BE","260712","00BD","0002",0
"30225024732","07/30/2012 22:50:24","P+",57,4,"8185",7,"270716",0,0,0,0,"7335","257",,,0
"30225733733","07/30/2012 22:57:33","Z ",57,4,"8185",7,"270716",2670,3,-207,1,,,,,0
"30230101734","07/30/2012 23:01:01","V+",59,1,"8747",8,"270233",0,0,0,0,,,,,0
"30230101735","07/30/2012 23:01:01","PP",59,1,"8747",8,"270233",0,0,0,0,"3BE","260712","00BD","0002",0
"30230101736","07/30/2012 23:01:01","P+",59,1,"8747",8,"270233",0,0,0,0,"9059","359",,,0
"30230112737","07/30/2012 23:01:12","MK",57,4,"8185",7,"270716",2670,3,12,0,,"11",,,0
"30230400738","07/30/2012 23:04:00","Z ",57,4,"8185",7,"270716",868,3,180,1,,,,,0
"30230455739","07/30/2012 23:04:55","Z ",57,4,"8185",7,"270716",283,1,175,1,,,,,0
"30230620740","07/30/2012 23:06:20","Z ",57,4,"8185",7,"270716",462,1,200,1,,,,,0
"30230632741","07/30/2012 23:06:32","Z!",59,1,"8747",8,"270233",957,4,,0,,,,,0
"30230641742","07/30/2012 23:06:41","Z ",57,4,"8185",7,"270716",73,1,161,1,,,,,0
"30230804743","07/30/2012 23:08:04","Z ",57,4,"8185",7,"270716",943,1,124,1,,,,,0
"30230932744","07/30/2012 23:09:32","Z ",57,4,"8185",7,"270716",157,1,152,1,,,,,0
"30231015745","07/30/2012 23:10:15","Z ",57,4,"8185",7,"270716",40,1,135,1,,,,,0
"30231102746","07/30/2012 23:11:02","Z ",57,4,"8185",7,"270716",130,1,122,1,,,,,0
"30231254747","07/30/2012 23:12:54","Z ",57,4,"8185",7,"270716",757,1,114,1,,,,,0
"30231340748","07/30/2012 23:13:40","Z ",57,4,"8185",7,"270716",321,1,40,1,,,,,0
"30231412749","07/30/2012 23:14:12","MK",57,4,"8185",7,"270716",321,1,72,0,,"11",,,0
"30231455750","07/30/2012 23:14:55","Z ",57,4,"8185",7,"270716",250,3,55,1,,,,,0
"30231619751","07/30/2012 23:16:19","V+",59,5,"8702",3,"270589",0,0,0,0,,,,,0
"30231619752","07/30/2012 23:16:19","PP",59,5,"8702",3,"270589",0,0,0,0,"3BE","260712","00BD","0002",0
"30231619753","07/30/2012 23:16:19","P+",59,5,"8702",3,"270589",0,0,0,0,"9559","359",,,0
"30231720754","07/30/2012 23:17:20","Z ",57,4,"8185",7,"270716",163,1,-40,1,,,,,0
"30231803755","07/30/2012 23:18:03","MK",57,4,"8185",7,"270716",163,1,3,0,,"11",,,0
"30231810756","07/30/2012 23:18:10","V+",51,1,"8166",7,"270817",0,0,0,0,,,,,0
"30231556757","07/30/2012 23:15:56","Z ",51,1,"8166",7,"270817",85,2,-9184,0,,,,,0
"30231810758","07/30/2012 23:18:10","PP",51,1,"8166",7,"270817",0,0,0,0,"3BE","260712","00BD","0002",0
"30231810759","07/30/2012 23:18:10","P+",51,1,"8166",7,"270817",0,0,0,0,"351","351",,,0
"30231931760","07/30/2012 23:19:31","Z ",57,4,"8185",7,"270716",187,1,-29,1,,,,,0
"30232045761","07/30/2012 23:20:45","Z ",59,1,"8747",8,"270233",957,3,-15,1,,,,,0
"30232115762","07/30/2012 23:21:15","M ",59,1,"8747",8,"270233",957,3,15,0,,"FA",,,0
"30232132763","07/30/2012 23:21:32","Z!",59,5,"8702",3,"270589",807,2,,0,,,,,0
"30232144764","07/30/2012 23:21:44","Z ",59,1,"8747",8,"270233",184,3,44,1,,,,,0
"30232159765","07/30/2012 23:21:59","Z ",57,4,"8185",7,"270716",360,1,-61,1,,,,,0
"30232226766","07/30/2012 23:22:26","M ",57,4,"8185",7,"270716",360,1,-34,0,,"11",,,1
"30232240767","07/30/2012 23:22:40","Z ",59,1,"8747",8,"270233",319,1,40,1,,,,,0
"30232350768","07/30/2012 23:23:50","Z ",59,1,"8747",8,"270233",1044,1,50,1,,,,,0
"30232359769","07/30/2012 23:23:59","Z ",57,4,"8185",7,"270716",361,1,-61,1,,,,,0
"30232449770","07/30/2012 23:24:49","Z ",59,1,"8747",8,"270233",302,1,49,1,,,,,0
"30232504771","07/30/2012 23:25:04","V+",56,4,"8158",7,"270819",0,0,0,0,,,,,0
"30232504772","07/30/2012 23:25:04","PP",56,4,"8158",7,"270819",0,0,0,0,"3BE","260712","00BD","0002",0
"30232504773","07/30/2012 23:25:04","P+",56,4,"8158",7,"270819",0,0,0,0,"9156","456",,,0
"30232507774","07/30/2012 23:25:07","M ",59,1,"8747",8,"270233",302,1,67,0,,"11",,,0
"30232546775","07/30/2012 23:25:46","V+",52,1,"8562",1,"270177",0,0,0,0,,,,,0
"30232350776","07/30/2012 23:23:50","Z ",52,1,"8562",1,"270177",72,2,-10330,0,,,,,0
"30232546777","07/30/2012 23:25:46","PP",52,1,"8562",1,"270177",0,0,0,0,"3BE","260712","00BD","0002",0
"30232546778","07/30/2012 23:25:46","P+",52,1,"8562",1,"270177",0,0,0,0,"52","52",,,0
"30232550779","07/30/2012 23:25:50","Z ",57,4,"8185",7,"270716",138,1,-10,1,,,,,0
"30232643780","07/30/2012 23:26:43","Z ",59,1,"8747",8,"270233",5002,9,-17,1,,,,,0
"30232701781","07/30/2012 23:27:01","Z ",57,4,"8185",7,"270716",809,1,-59,1,,,,,0
"30232803782","07/30/2012 23:28:03","MK",57,4,"8185",7,"270716",809,1,3,0,,"11",,,0
"30232840783","07/30/2012 23:28:40","Z ",59,1,"8747",8,"270233",5040,3,-20,1,,,,,0
"30232914784","07/30/2012 23:29:14","MK",59,1,"8747",8,"270233",5040,3,14,0,,"11",,,0
"30232943785","07/30/2012 23:29:43","Z ",59,1,"8747",8,"270233",1040,2,-17,1,,,,,0
"30233003786","07/30/2012 23:30:03","Z ",57,4,"8185",7,"270716",483,1,3,1,,,,,0
"30233021787","07/30/2012 23:30:21","MK",59,1,"8747",8,"270233",1040,2,21,0,,"11",,,0
"30233032788","07/30/2012 23:30:32","Z!",56,4,"8158",7,"270819",866,2,,0,,,,,0
"30233043789","07/30/2012 23:30:43","Z ",59,5,"8702",3,"270589",807,1,-17,1,,,,,0
"30233110790","07/30/2012 23:31:10","M ",59,5,"8702",3,"270589",807,1,10,0,,"11",,,0
