"Rec_id","Datum","Kod","CN","UN","N2","N1","Z1","Z2","Z3","Z4","Z5","ZV","EI","SM","SI","NA","ZA","VO","Zapsano"
"05224300796","07/05/2012 22:43:00","P5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"05224300797","07/05/2012 22:43:00","PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"05224400798","07/05/2012 22:44:00","P5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"05224400799","07/05/2012 22:44:00","PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"05224500800","07/05/2012 22:45:00","P5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"05224500801","07/05/2012 22:45:00","PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"05224600802","07/05/2012 22:46:00","P5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"05224600803","07/05/2012 22:46:00","PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"05224700804","07/05/2012 22:47:00","P5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05224700805","07/05/2012 22:47:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"05224800806","07/05/2012 22:48:00","P5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05224800807","07/05/2012 22:48:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"05224900808","07/05/2012 22:49:00","P5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05224900809","07/05/2012 22:49:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"05225000810","07/05/2012 22:50:00","P5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05225000811","07/05/2012 22:50:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"05225100812","07/05/2012 22:51:00","P5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05225100813","07/05/2012 22:51:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"05225200814","07/05/2012 22:52:00","P5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05225200815","07/05/2012 22:52:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"05225300816","07/05/2012 22:53:00","P5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05225300817","07/05/2012 22:53:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"05225400818","07/05/2012 22:54:00","P5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05225400819","07/05/2012 22:54:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"05225500820","07/05/2012 22:55:00","P5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05225500821","07/05/2012 22:55:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"05225600822","07/05/2012 22:56:00","P5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05225600823","07/05/2012 22:56:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"05225700824","07/05/2012 22:57:00","P5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05225700825","07/05/2012 22:57:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"05225800826","07/05/2012 22:58:00","P5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05225800827","07/05/2012 22:58:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"05225900828","07/05/2012 22:59:00","P5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05225900829","07/05/2012 22:59:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"05230000830","07/05/2012 23:00:00","P5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05230000831","07/05/2012 23:00:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"05230100832","07/05/2012 23:01:00","P5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05230100833","07/05/2012 23:01:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"05230200834","07/05/2012 23:02:00","P5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05230200835","07/05/2012 23:02:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"05230300836","07/05/2012 23:03:00","P5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05230300837","07/05/2012 23:03:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"05230400838","07/05/2012 23:04:00","P5",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05230400839","07/05/2012 23:04:00","PP",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"05230500840","07/05/2012 23:05:00","P5",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"05230500841","07/05/2012 23:05:00","PP",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"05230600842","07/05/2012 23:06:00","P5",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05230600843","07/05/2012 23:06:00","PP",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"05230700844","07/05/2012 23:07:00","P5",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05230700845","07/05/2012 23:07:00","PP",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"05230800846","07/05/2012 23:08:00","P5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05230800847","07/05/2012 23:08:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"05230900848","07/05/2012 23:09:00","P5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05230900849","07/05/2012 23:09:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"05231000850","07/05/2012 23:10:00","P5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05231000851","07/05/2012 23:10:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"05231100852","07/05/2012 23:11:00","P5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05231100853","07/05/2012 23:11:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"05231200854","07/05/2012 23:12:00","P5",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05231200855","07/05/2012 23:12:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"05231300856","07/05/2012 23:13:00","P5",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"05231300857","07/05/2012 23:13:00","PP",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"05231400858","07/05/2012 23:14:00","P5",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"05231400859","07/05/2012 23:14:00","PP",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"05231500860","07/05/2012 23:15:00","P5",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"05231500861","07/05/2012 23:15:00","P7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"05231500862","07/05/2012 23:15:00","PP",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
"05231600863","07/05/2012 23:16:00","P5",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"05231600864","07/05/2012 23:16:00","P7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"05231600865","07/05/2012 23:16:00","PP",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
"05231800869","07/05/2012 23:18:00","P5",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"05231800870","07/05/2012 23:18:00","P7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"05231800871","07/05/2012 23:18:00","PP",3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1
"05231900872","07/05/2012 23:19:00","P5",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"05231900873","07/05/2012 23:19:00","P7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"05231900874","07/05/2012 23:19:00","PP",3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1
"05232000875","07/05/2012 23:20:00","P5",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"05232000876","07/05/2012 23:20:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05232000877","07/05/2012 23:20:00","PP",3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
"05232100878","07/05/2012 23:21:00","P5",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"05232100879","07/05/2012 23:21:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05232100880","07/05/2012 23:21:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05232100881","07/05/2012 23:21:00","PP",4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
"05232200882","07/05/2012 23:22:00","P5",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"05232200883","07/05/2012 23:22:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05232200884","07/05/2012 23:22:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05232200885","07/05/2012 23:22:00","PP",4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
"05232300886","07/05/2012 23:23:00","P5",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"05232300887","07/05/2012 23:23:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05232300888","07/05/2012 23:23:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05232300889","07/05/2012 23:23:00","PP",4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
"05232400890","07/05/2012 23:24:00","P5",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"05232400891","07/05/2012 23:24:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05232400892","07/05/2012 23:24:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05232400893","07/05/2012 23:24:00","PP",4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
"05232500894","07/05/2012 23:25:00","P5",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"05232500895","07/05/2012 23:25:00","P7",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"05232500896","07/05/2012 23:25:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05232500897","07/05/2012 23:25:00","PP",4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1
"05232600898","07/05/2012 23:26:00","P5",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"05232600899","07/05/2012 23:26:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05232600900","07/05/2012 23:26:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05232600901","07/05/2012 23:26:00","PP",4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
"05232700902","07/05/2012 23:27:00","P5",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"05232700903","07/05/2012 23:27:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05232700904","07/05/2012 23:27:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05232700905","07/05/2012 23:27:00","PP",4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
"05232800906","07/05/2012 23:28:00","P5",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"05232800907","07/05/2012 23:28:00","P7",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"05232800908","07/05/2012 23:28:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05231700866","07/05/2012 23:17:00","P5",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"05231700867","07/05/2012 23:17:00","P7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"05231700868","07/05/2012 23:17:00","PP",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
"05232800909","07/05/2012 23:28:00","PP",4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1
"05232900910","07/05/2012 23:29:00","P5",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"05232900911","07/05/2012 23:29:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05232900912","07/05/2012 23:29:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"05232900913","07/05/2012 23:29:00","PP",4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
