"Rec_id","Datum","Kod","LnNo","PorNo","EvCislo","Vozovna","FyzAdresa","A","B","C","D","E","F","G","H","Zapsano"
"03230313000","07/03/2012 23:03:13","V+",59,1,"8710",8,"270547",0,0,0,0,,,,,0
"03230313001","07/03/2012 23:03:13","PP",59,1,"8710",8,"270547",0,0,0,0,"3BE","030712","00BD","0002",0
"03230313002","07/03/2012 23:03:13","P+",59,1,"8710",8,"270547",0,0,0,0,"9059","459",,,0
"03230717003","07/03/2012 23:07:17","V+",57,4,"8344",7,"270822",0,0,0,0,,,,,0
"03230717004","07/03/2012 23:07:17","PP",57,4,"8344",7,"270822",0,0,0,0,"3BE","030712","00BD","0002",0
"03230717005","07/03/2012 23:07:17","P+",57,4,"8344",7,"270822",0,0,0,0,"7323","457",,,0
"03230832006","07/03/2012 23:08:32","Z!",59,1,"8710",8,"270547",957,4,,0,,,,,0
"03231545007","07/03/2012 23:15:45","Z ",57,4,"8344",7,"270822",2670,3,-135,1,,,,,0
"03231607008","07/03/2012 23:16:07","V+",51,1,"8338",7,"270070",0,0,0,0,,,,,0
"03231332009","07/03/2012 23:13:32","Z ",51,1,"8338",7,"270070",85,2,-9328,0,,,,,0
"03231607010","07/03/2012 23:16:07","PP",51,1,"8338",7,"270070",0,0,0,0,"3BE","030712","00BD","0002",0
"03231607011","07/03/2012 23:16:07","P+",51,1,"8338",7,"270070",0,0,0,0,"351","351",,,0
"03231739012","07/03/2012 23:17:39","V+",59,5,"8696",3,"270710",0,0,0,0,,,,,0
"03231739013","07/03/2012 23:17:39","PP",59,5,"8696",3,"270710",0,0,0,0,"3BE","030712","00BD","0002",0
"03231739014","07/03/2012 23:17:39","P+",59,5,"8696",3,"270710",0,0,0,0,"9559","459",,,0
"03231806015","07/03/2012 23:18:06","MK",57,4,"8344",7,"270822",2670,3,6,0,,"11",,,0
"03231819016","07/03/2012 23:18:19","Z ",57,4,"8344",7,"270822",868,3,19,1,,,,,0
"03231915017","07/03/2012 23:19:15","Z ",57,4,"8344",7,"270822",283,1,15,1,,,,,0
"03232121018","07/03/2012 23:21:21","Z ",57,4,"8344",7,"270822",462,1,81,1,,,,,0
"03232125019","07/03/2012 23:21:25","Z ",59,1,"8710",8,"270547",957,3,25,1,,,,,0
"03232142020","07/03/2012 23:21:42","M ",59,1,"8710",8,"270547",957,3,42,0,,"11",,,0
"03232209021","07/03/2012 23:22:09","Z ",57,4,"8344",7,"270822",73,1,69,1,,,,,0
"03232215022","07/03/2012 23:22:15","Z ",59,1,"8710",8,"270547",184,3,75,1,,,,,0
"03232314023","07/03/2012 23:23:14","Z ",57,4,"8344",7,"270822",943,1,14,1,,,,,0
"03232314024","07/03/2012 23:23:14","Z ",59,1,"8710",8,"270547",319,1,74,1,,,,,0
"03232332025","07/03/2012 23:23:32","Z!",59,5,"8696",3,"270710",807,2,,0,,,,,0
