"Rec_id","Datum","Kod","CN","UN","N2","N1","Z1","Z2","Z3","Z4","Z5","ZV","EI","SM","SI","NA","ZA","VO","Zapsano"
"02231500000","07/02/2012 23:15:00","P7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"02231500001","07/02/2012 23:15:00","PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"02231600002","07/02/2012 23:16:00","P7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"02231600003","07/02/2012 23:16:00","PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"02231700004","07/02/2012 23:17:00","P7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"02231700005","07/02/2012 23:17:00","PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"02231800006","07/02/2012 23:18:00","P7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"02231800007","07/02/2012 23:18:00","PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"02231900008","07/02/2012 23:19:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"02231900009","07/02/2012 23:19:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"02232000010","07/02/2012 23:20:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"02232000011","07/02/2012 23:20:00","PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"02232100012","07/02/2012 23:21:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"02232100013","07/02/2012 23:21:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"02232100014","07/02/2012 23:21:00","PP",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"02232200015","07/02/2012 23:22:00","P7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"02232200016","07/02/2012 23:22:00","P8",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
