"Rec_id","Datum","Kod","LnNo","PorNo","EvCislo","Vozovna","FyzAdresa","A","B","C","D","E","F","G","H","Zapsano"
"08223002044","07/08/2012 22:30:02","V+",57,1,"8634",5,"270397",0,0,0,0,,,,,0
"08223002045","07/08/2012 22:30:02","PP",57,1,"8634",5,"270397",0,0,0,0,"3BE","030712","00BD","0002",0
"08223002046","07/08/2012 22:30:02","P+",57,1,"8634",5,"270397",0,0,0,0,"5011","457",,,0
"08224553047","07/08/2012 22:45:53","Z ",57,1,"8634",5,"270397",2650,3,-7,1,,,,,0
"08224616048","07/08/2012 22:46:16","MK",57,1,"8634",5,"270397",2650,3,16,0,,"11",,,0
"08224644049","07/08/2012 22:46:44","Z ",57,1,"8634",5,"270397",1108,2,-16,1,,,,,0
"08224749050","07/08/2012 22:47:49","Z ",57,1,"8634",5,"270397",713,1,-11,1,,,,,0
"08224809051","07/08/2012 22:48:09","MK",57,1,"8634",5,"270397",713,1,9,0,,"11",,,0
"08224915052","07/08/2012 22:49:15","Z ",57,1,"8634",5,"270397",605,1,15,1,,,,,0
"08225030053","07/08/2012 22:50:30","Z ",57,1,"8634",5,"270397",473,1,30,1,,,,,0
"08225042054","07/08/2012 22:50:42","MK",57,1,"8634",5,"270397",473,1,42,0,,"11",,,0
"08225144055","07/08/2012 22:51:44","Z ",57,1,"8634",5,"270397",680,1,44,1,,,,,0
"08225322056","07/08/2012 22:53:22","Z ",57,1,"8634",5,"270397",269,1,22,1,,,,,0
"08225347057","07/08/2012 22:53:47","M ",57,1,"8634",5,"270397",269,1,47,0,,"11",,,0
"08225458058","07/08/2012 22:54:58","V+",57,2,"8612",5,"270065",0,0,0,0,,,,,0
"08225458059","07/08/2012 22:54:58","PP",57,2,"8612",5,"270065",0,0,0,0,"3BE","030712","00BD","0002",0
"08225458060","07/08/2012 22:54:58","P+",57,2,"8612",5,"270065",0,0,0,0,"5011","457",,,0
"08225511061","07/08/2012 22:55:11","Z ",57,1,"8634",5,"270397",391,1,11,1,,,,,0
"08225553062","07/08/2012 22:55:53","Z ",57,2,"8612",5,"270065",2650,3,-1207,1,,,,,0
"08225549063","07/08/2012 22:55:49","MK",57,1,"8634",5,"270397",391,1,49,0,,"11",,,0
"08225707064","07/08/2012 22:57:07","Z ",57,1,"8634",5,"270397",627,1,7,1,,,,,0
"08225824065","07/08/2012 22:58:24","Z ",57,1,"8634",5,"270397",354,1,-36,1,,,,,0
"08230019066","07/08/2012 23:00:19","Z ",57,1,"8634",5,"270397",476,1,-41,1,,,,,0
"08230055067","07/08/2012 23:00:55","V+",59,1,"8743",8,"270222",0,0,0,0,,,,,0
"08230055068","07/08/2012 23:00:55","PP",59,1,"8743",8,"270222",0,0,0,0,"3BE","030712","00BD","0002",0
"08230055069","07/08/2012 23:00:55","P+",59,1,"8743",8,"270222",0,0,0,0,"9059","459",,,0
"08230157070","07/08/2012 23:01:57","Z ",57,1,"8634",5,"270397",190,1,-63,1,,,,,0
"08230234071","07/08/2012 23:02:34","M ",57,1,"8634",5,"270397",190,1,-26,0,,"11",,,1
"08230435072","07/08/2012 23:04:35","Z ",57,1,"8634",5,"270397",739,1,-25,1,,,,,0
"08230511073","07/08/2012 23:05:11","MK",57,1,"8634",5,"270397",739,1,11,0,,"11",,,0
"08230548074","07/08/2012 23:05:48","Z ",57,1,"8634",5,"270397",237,3,-12,1,,,,,0
"08230632075","07/08/2012 23:06:32","Z!",59,1,"8743",8,"270222",184,4,,0,,,,,0
"08230821076","07/08/2012 23:08:21","Z ",57,1,"8634",5,"270397",5997,4,21,1,,,,,0
"08230903077","07/08/2012 23:09:03","Z ",57,1,"8634",5,"270397",539,2,3,1,,,,,0
"08230931078","07/08/2012 23:09:31","MK",57,1,"8634",5,"270397",539,2,31,0,,"11",,,0
"08231032079","07/08/2012 23:10:32","Z ",57,1,"8634",5,"270397",483,2,32,1,,,,,0
"08231225080","07/08/2012 23:12:25","Z ",57,1,"8634",5,"270397",809,4,25,1,,,,,0
"08231249081","07/08/2012 23:12:49","MK",57,1,"8634",5,"270397",809,4,49,0,,"11",,,0
"08231344082","07/08/2012 23:13:44","Z ",57,1,"8634",5,"270397",138,2,44,1,,,,,0
"08231424083","07/08/2012 23:14:24","V+",59,5,"8662",3,"270453",0,0,0,0,,,,,0
"08231424084","07/08/2012 23:14:24","PP",59,5,"8662",3,"270453",0,0,0,0,"3BE","030712","00BD","0002",0
"08231424085","07/08/2012 23:14:24","P+",59,5,"8662",3,"270453",0,0,0,0,"9559","459",,,0
"08231516086","07/08/2012 23:15:16","Z ",57,1,"8634",5,"270397",361,2,16,1,,,,,0
"08231637087","07/08/2012 23:16:37","MK",57,2,"8612",5,"270065",2650,3,37,0,,"11",,,0
"08231653088","07/08/2012 23:16:53","Z ",57,2,"8612",5,"270065",1108,2,-7,1,,,,,0
"08231746089","07/08/2012 23:17:46","Z ",57,1,"8634",5,"270397",360,2,-14,1,,,,,0
"08231756090","07/08/2012 23:17:56","Z ",57,2,"8612",5,"270065",713,1,-4,1,,,,,0
"08231827091","07/08/2012 23:18:27","M ",57,1,"8634",5,"270397",360,2,27,0,,"11",,,0
"08231911092","07/08/2012 23:19:11","Z ",57,2,"8612",5,"270065",605,1,11,1,,,,,0
"08231932093","07/08/2012 23:19:32","Z!",59,5,"8662",3,"270453",807,2,,0,,,,,0
"08232025094","07/08/2012 23:20:25","Z ",59,1,"8743",8,"270222",957,3,-35,1,,,,,0
"08232029095","07/08/2012 23:20:29","Z ",57,2,"8612",5,"270065",473,1,29,1,,,,,0
"08232055096","07/08/2012 23:20:55","Z ",57,1,"8634",5,"270397",187,2,-5,1,,,,,0
"08232100097","07/08/2012 23:21:00","MK",57,2,"8612",5,"270065",473,1,60,0,,"11",,,0
"08232106098","07/08/2012 23:21:06","M ",59,1,"8743",8,"270222",957,3,6,0,,"FA",,,0
"08232130099","07/08/2012 23:21:30","Z ",59,1,"8743",8,"270222",184,3,30,1,,,,,0
"08232153100","07/08/2012 23:21:53","Z ",57,2,"8612",5,"270065",680,1,53,1,,,,,0
"08232213101","07/08/2012 23:22:13","Z ",59,1,"8743",8,"270222",319,1,13,1,,,,,0
"08232225102","07/08/2012 23:22:25","Z ",57,1,"8634",5,"270397",163,2,-35,1,,,,,0
"08232308103","07/08/2012 23:23:08","MK",57,1,"8634",5,"270397",163,2,8,0,,"11",,,0
"08232325104","07/08/2012 23:23:25","V+",56,4,"8385",7,"270904",0,0,0,0,,,,,0
"08232325105","07/08/2012 23:23:25","PP",56,4,"8385",7,"270904",0,0,0,0,"3BE","030712","00BD","0002",0
"08232325106","07/08/2012 23:23:25","P+",56,4,"8385",7,"270904",0,0,0,0,"9156","456",,,0
"08232328107","07/08/2012 23:23:28","Z ",59,1,"8743",8,"270222",1044,1,28,1,,,,,0
"08232358108","07/08/2012 23:23:58","Z ",57,2,"8612",5,"270065",269,1,58,1,,,,,0
"08232411109","07/08/2012 23:24:11","Z ",59,1,"8743",8,"270222",302,1,11,1,,,,,0
"08232432110","07/08/2012 23:24:32","V+",57,3,"8641",5,"270068",0,0,0,0,,,,,0
"08232432111","07/08/2012 23:24:32","PP",57,3,"8641",5,"270068",0,0,0,0,"3BE","030712","00BD","0002",0
"08232432112","07/08/2012 23:24:32","P+",57,3,"8641",5,"270068",0,0,0,0,"5011","457",,,0
"08232431113","07/08/2012 23:24:31","M ",59,1,"8743",8,"270222",302,1,31,0,,"11",,,0
"08232441114","07/08/2012 23:24:41","M ",57,2,"8612",5,"270065",269,1,101,0,,"11",,,0
"08232616115","07/08/2012 23:26:16","Z ",57,2,"8612",5,"270065",391,1,76,1,,,,,0
"08232636116","07/08/2012 23:26:36","Z ",59,1,"8743",8,"270222",5002,9,-24,1,,,,,0
"08232700117","07/08/2012 23:27:00","Z ",57,1,"8634",5,"270397",46,2,0,1,,,,,0
"08232709118","07/08/2012 23:27:09","MK",57,2,"8612",5,"270065",391,1,129,0,,"11",,,0
"08232712119","07/08/2012 23:27:12","M ",57,1,"8634",5,"270397",46,2,12,0,,"11",,,0
"08232735120","07/08/2012 23:27:35","V+",53,1,"8431",2,"270288",0,0,0,0,,,,,0
"08232447121","07/08/2012 23:24:47","Z ",53,1,"8431",2,"270288",651,2,-10153,0,,,,,0
"08232735122","07/08/2012 23:27:35","PP",53,1,"8431",2,"270288",0,0,0,0,"3BE","030712","00BD","0002",0
"08232735123","07/08/2012 23:27:35","P+",53,1,"8431",2,"270288",0,0,0,0,"53","53",,,0
"08232752124","07/08/2012 23:27:52","Z ",59,1,"8743",8,"270222",5040,3,-68,1,,,,,0
"08232829125","07/08/2012 23:28:29","Z ",57,2,"8612",5,"270065",627,1,89,1,,,,,0
"08232832126","07/08/2012 23:28:32","Z!",56,4,"8385",7,"270904",866,2,,0,,,,,0
"08232837127","07/08/2012 23:28:37","Z ",57,1,"8634",5,"270397",531,2,37,1,,,,,0
"08232901128","07/08/2012 23:29:01","V+",52,1,"8563",1,"270253",0,0,0,0,,,,,0
"08232603129","07/08/2012 23:26:03","Z ",52,1,"8563",1,"270253",72,2,-10197,0,,,,,0
"08232901130","07/08/2012 23:29:01","PP",52,1,"8563",1,"270253",0,0,0,0,"3BE","030712","00BD","0002",0
"08232901131","07/08/2012 23:29:01","P+",52,1,"8563",1,"270253",0,0,0,0,"52","52",,,0
"08232906132","07/08/2012 23:29:06","MK",59,1,"8743",8,"270222",5040,3,6,0,,"11",,,0
"08232926133","07/08/2012 23:29:26","Z ",59,1,"8743",8,"270222",1040,2,-34,1,,,,,0
"08232954134","07/08/2012 23:29:54","Z ",57,2,"8612",5,"270065",354,1,54,1,,,,,0
"08233003135","07/08/2012 23:30:03","MK",59,1,"8743",8,"270222",1040,2,3,0,,"11",,,0
"08233025136","07/08/2012 23:30:25","Z ",57,1,"8634",5,"270397",362,2,25,1,,,,,0
"08233107137","07/08/2012 23:31:07","Z ",59,5,"8662",3,"270453",807,1,7,1,,,,,0
"08233113138","07/08/2012 23:31:13","Z ",59,1,"8743",8,"270222",25,2,-47,1,,,,,0
"08233118139","07/08/2012 23:31:18","M ",59,5,"8662",3,"270453",807,1,18,0,,"11",,,0
"08233143140","07/08/2012 23:31:43","Z ",57,1,"8634",5,"270397",366,2,-17,1,,,,,0
"08233157141","07/08/2012 23:31:57","Z ",57,2,"8612",5,"270065",476,1,57,1,,,,,0
"08233208142","07/08/2012 23:32:08","MK",57,1,"8634",5,"270397",366,2,8,0,,"11",,,0
"08233225143","07/08/2012 23:32:25","Z ",59,5,"8662",3,"270453",404,1,25,1,,,,,0
"08233226144","07/08/2012 23:32:26","Z ",59,1,"8743",8,"270222",805,2,-34,1,,,,,0
"08233227145","07/08/2012 23:32:27","Z ",57,1,"8634",5,"270397",103,2,-33,1,,,,,0
"08233327146","07/08/2012 23:33:27","Z ",59,5,"8662",3,"270453",358,1,27,1,,,,,0
"08233328147","07/08/2012 23:33:28","Z ",57,2,"8612",5,"270065",190,1,28,1,,,,,0
"08233339148","07/08/2012 23:33:39","Z ",59,1,"8743",8,"270222",254,2,-21,1,,,,,0
"08233351149","07/08/2012 23:33:51","Z ",57,1,"8634",5,"270397",778,2,-9,1,,,,,0
"08233401150","07/08/2012 23:34:01","M ",57,2,"8612",5,"270065",190,1,61,0,,"11",,,0
"08233404151","07/08/2012 23:34:04","V+",51,1,"8469",7,"270038",0,0,0,0,,,,,0
"08233404152","07/08/2012 23:34:04","PP",51,1,"8469",7,"270038",0,0,0,0,"3BE","030712","00BD","0002",0
"08233404153","07/08/2012 23:34:04","P+",51,1,"8469",7,"270038",0,0,0,0,"351","351",,,0
"08233438154","07/08/2012 23:34:38","Z ",57,1,"8634",5,"270397",994,2,-22,1,,,,,0
"08233443155","07/08/2012 23:34:43","Z ",59,5,"8662",3,"270453",1071,11,43,1,,,,,0
"08233450156","07/08/2012 23:34:50","Z ",59,1,"8743",8,"270222",240,2,-10,1,,,,,0
"08233516157","07/08/2012 23:35:16","Z ",57,2,"8612",5,"270065",739,1,16,1,,,,,0
"08233524158","07/08/2012 23:35:24","Z ",59,5,"8662",3,"270453",70,1,24,1,,,,,0
"08233543159","07/08/2012 23:35:43","Z ",57,1,"8634",5,"270397",636,2,-17,1,,,,,0
"08233539160","07/08/2012 23:35:39","M ",59,1,"8743",8,"270222",240,2,39,0,,"11",,,0
"08233550161","07/08/2012 23:35:50","MK",59,5,"8662",3,"270453",70,1,50,0,,"11",,,0
"08233641162","07/08/2012 23:36:41","Z ",59,1,"8743",8,"270222",289,2,41,1,,,,,0
"08233653163","07/08/2012 23:36:53","Z ",59,5,"8662",3,"270453",496,1,53,1,,,,,0
"08233700164","07/08/2012 23:37:00","Z ",57,1,"8634",5,"270397",872,2,0,1,,,,,0
"08233711165","07/08/2012 23:37:11","MK",57,2,"8612",5,"270065",739,1,131,0,,"11",,,0
"08233721166","07/08/2012 23:37:21","M ",59,1,"8743",8,"270222",289,2,81,0,,"11",,,0
"08233730167","07/08/2012 23:37:30","Z ",57,2,"8612",5,"270065",237,3,90,1,,,,,0
"08233727168","07/08/2012 23:37:27","MK",57,1,"8634",5,"270397",872,2,27,0,,"11",,,0
"08233749169","07/08/2012 23:37:49","Z ",59,5,"8662",3,"270453",900,1,49,1,,,,,0
"08233805170","07/08/2012 23:38:05","Z ",59,1,"8743",8,"270222",580,2,5,1,,,,,0
"08233812171","07/08/2012 23:38:12","Z ",57,1,"8634",5,"270397",610,2,12,1,,,,,0
"08233830172","07/08/2012 23:38:30","M ",59,1,"8743",8,"270222",580,2,30,0,,"11",,,0
"08233838173","07/08/2012 23:38:38","Z ",59,5,"8662",3,"270453",690,1,38,1,,,,,0
"08233846174","07/08/2012 23:38:46","Z ",59,1,"8743",8,"270222",567,2,-14,1,,,,,0
"08233853175","07/08/2012 23:38:53","Z ",56,4,"8385",7,"270904",866,1,-7,1,,,,,0
"08233901176","07/08/2012 23:39:01","M ",59,5,"8662",3,"270453",690,1,61,0,,"11",,,0
"08233908177","07/08/2012 23:39:08","M ",56,4,"8385",7,"270904",866,1,8,0,,"11",,,0
"08233924178","07/08/2012 23:39:24","V+",54,5,"8556",1,"270316",0,0,0,0,,,,,0
"08233757179","07/08/2012 23:37:57","Z ",54,5,"8556",1,"270316",1019,2,-12843,0,,,,,0
"08233924180","07/08/2012 23:39:24","PP",54,5,"8556",1,"270316",0,0,0,0,"3BE","030712","00BD","0002",0
"08233924181","07/08/2012 23:39:24","P+",54,5,"8556",1,"270316",0,0,0,0,"54","54",,,0
"08233926182","07/08/2012 23:39:26","Z ",57,1,"8634",5,"270397",364,2,26,1,,,,,0
"08233923183","07/08/2012 23:39:23","M ",59,1,"8743",8,"270222",567,2,23,0,,"11",,,0
"08233929184","07/08/2012 23:39:29","Z!",51,1,"8469",7,"270038",126,3,,0,,,,,0
"08233946185","07/08/2012 23:39:46","Z ",59,5,"8662",3,"270453",848,1,46,1,,,,,0
"08234003186","07/08/2012 23:40:03","Z ",59,1,"8743",8,"270222",865,2,3,1,,,,,0
"08234003187","07/08/2012 23:40:03","Z ",56,4,"8385",7,"270904",433,1,3,1,,,,,0
"08234020188","07/08/2012 23:40:20","Z ",59,5,"8662",3,"270453",299,1,20,1,,,,,0
"08234030189","07/08/2012 23:40:30","MK",59,1,"8743",8,"270222",865,2,30,0,,"11",,,0
"08234037190","07/08/2012 23:40:37","Z ",57,2,"8612",5,"270065",5997,4,157,1,,,,,0
"08234106191","07/08/2012 23:41:06","Z ",57,1,"8634",5,"270397",31,2,-54,1,,,,,0
"08234107192","07/08/2012 23:41:07","Z ",59,5,"8662",3,"270453",849,1,7,1,,,,,0
"08234111193","07/08/2012 23:41:11","Z ",59,1,"8743",8,"270222",394,2,11,1,,,,,0
"08234119194","07/08/2012 23:41:19","Z ",57,2,"8612",5,"270065",539,2,139,1,,,,,0
"08234122195","07/08/2012 23:41:22","PP",57,1,"8634",5,"270397",0,0,0,0,"3BE","030712","00BD","0002",0
"08234122196","07/08/2012 23:41:22","P+",57,1,"8634",5,"270397",0,0,0,0,"457","457",,,0
"08234137197","07/08/2012 23:41:37","M ",59,1,"8743",8,"270222",394,2,37,0,,"11",,,0
"08234146198","07/08/2012 23:41:46","Z ",56,4,"8385",7,"270904",597,1,46,1,,,,,0
"08234150199","07/08/2012 23:41:50","MK",57,2,"8612",5,"270065",539,2,170,0,,"11",,,0
"08234158200","07/08/2012 23:41:58","Z ",59,5,"8662",3,"270453",921,1,-2,1,,,,,0
"08234157201","07/08/2012 23:41:57","M ",56,4,"8385",7,"270904",597,1,57,0,,"11",,,0
"08234209202","07/08/2012 23:42:09","MP",57,1,"8634",5,"270397",31,2,9,0,,"11",,,0
"08234225203","07/08/2012 23:42:25","Z ",59,1,"8743",8,"270222",395,2,25,1,,,,,0
"08234237204","07/08/2012 23:42:37","Z ",57,2,"8612",5,"270065",483,2,157,1,,,,,0
"08234250205","07/08/2012 23:42:50","M ",59,1,"8743",8,"270222",395,2,50,0,,"11",,,0
"08234329206","07/08/2012 23:43:29","Z ",59,1,"8743",8,"270222",113,2,29,1,,,,,0
"08234336207","07/08/2012 23:43:36","V+",55,4,"8739",8,"270245",0,0,0,0,,,,,0
"08234215208","07/08/2012 23:42:15","Z ",55,4,"8739",8,"270245",807,2,-11025,0,,,,,0
"08234336209","07/08/2012 23:43:36","PP",55,4,"8739",8,"270245",0,0,0,0,"3BE","030712","00BD","0002",0
"08234336210","07/08/2012 23:43:36","P+",55,4,"8739",8,"270245",0,0,0,0,"55","55",,,0
"08234403211","07/08/2012 23:44:03","V+",52,5,"8562",1,"270177",0,0,0,0,,,,,0
"08234151212","07/08/2012 23:41:51","Z ",52,5,"8562",1,"270177",946,2,-11589,0,,,,,0
"08234403213","07/08/2012 23:44:03","PP",52,5,"8562",1,"270177",0,0,0,0,"3BE","030712","00BD","0002",0
"08234403214","07/08/2012 23:44:03","P+",52,5,"8562",1,"270177",0,0,0,0,"52","52",,,0
"08234403215","07/08/2012 23:44:03","Z ",59,5,"8662",3,"270453",373,2,3,1,,,,,0
"08234410216","07/08/2012 23:44:10","Z ",57,2,"8612",5,"270065",809,4,130,1,,,,,0
"08234413217","07/08/2012 23:44:13","M ",59,1,"8743",8,"270222",113,2,73,0,,"11",,,0
"08234432218","07/08/2012 23:44:32","MK",57,2,"8612",5,"270065",809,4,152,0,,"11",,,0
"08234457219","07/08/2012 23:44:57","V+",54,1,"8230",4,"270574",0,0,0,0,,,,,0
"08234308220","07/08/2012 23:43:08","Z ",54,1,"8230",4,"270574",72,2,-10612,0,,,,,0
"08234457221","07/08/2012 23:44:57","PP",54,1,"8230",4,"270574",0,0,0,0,"3BE","030712","00BD","0002",0
"08234457222","07/08/2012 23:44:57","P+",54,1,"8230",4,"270574",0,0,0,0,"54","54",,,0
"08234508223","07/08/2012 23:45:08","Z ",59,1,"8743",8,"270222",236,2,8,1,,,,,0
"08234519224","07/08/2012 23:45:19","Z ",59,5,"8662",3,"270453",469,2,-41,1,,,,,0
"08234548225","07/08/2012 23:45:48","M ",59,1,"8743",8,"270222",236,2,48,0,,"11",,,0
"08234600226","07/08/2012 23:46:00","Z ",57,2,"8612",5,"270065",138,2,180,1,,,,,0
"08234615227","07/08/2012 23:46:15","MK",57,3,"8641",5,"270068",2650,3,15,0,,"11",,,0
"08234630228","07/08/2012 23:46:30","Z ",59,1,"8743",8,"270222",47,2,30,1,,,,,0
"08234634229","07/08/2012 23:46:34","Z ",56,4,"8385",7,"270904",152,2,-26,1,,,,,0
"08234646230","07/08/2012 23:46:46","Z ",57,3,"8641",5,"270068",1108,2,-14,1,,,,,0
"08234654231","07/08/2012 23:46:54","M ",59,5,"8662",3,"270453",34,2,-6,0,,"11",,,1
"08234704232","07/08/2012 23:47:04","V+",53,2,"8322",4,"270679",0,0,0,0,,,,,0
"08234429233","07/08/2012 23:44:29","Z ",53,2,"8322",4,"270679",651,2,-10771,0,,,,,0
"08234704234","07/08/2012 23:47:04","PP",53,2,"8322",4,"270679",0,0,0,0,"3BE","030712","00BD","0002",0
"08234704235","07/08/2012 23:47:04","P+",53,2,"8322",4,"270679",0,0,0,0,"53","53",,,0
"08234708236","07/08/2012 23:47:08","M ",59,1,"8743",8,"270222",47,2,68,0,,"11",,,0
"08234719237","07/08/2012 23:47:19","Z ",57,2,"8612",5,"270065",361,2,139,1,,,,,0
"08234744238","07/08/2012 23:47:44","Z ",57,3,"8641",5,"270068",713,1,-16,1,,,,,0
"08234757239","07/08/2012 23:47:57","Z ",59,1,"8743",8,"270222",612,2,-3,1,,,,,0
"08234758240","07/08/2012 23:47:58","Z ",56,4,"8385",7,"270904",559,2,-2,1,,,,,0
"08234809241","07/08/2012 23:48:09","PP",59,1,"8743",8,"270222",0,0,0,0,"3BE","030712","00BD","0002",0
"08234809242","07/08/2012 23:48:09","P+",59,1,"8743",8,"270222",0,0,0,0,"459","459",,,0
"08234806243","07/08/2012 23:48:06","MK",57,3,"8641",5,"270068",713,1,6,0,,"11",,,0
"08234814244","07/08/2012 23:48:14","Z ",59,5,"8662",3,"270453",512,2,14,1,,,,,0
"08234828245","07/08/2012 23:48:28","MP",59,1,"8743",8,"270222",612,2,28,0,,"11",,,0
"08234849246","07/08/2012 23:48:49","Z ",59,5,"8662",3,"270453",837,2,-11,1,,,,,0
"08234900247","07/08/2012 23:49:00","V+",53,5,"8445",2,"270376",0,0,0,0,,,,,0
"08234900248","07/08/2012 23:49:00","PP",53,5,"8445",2,"270376",0,0,0,0,"3BE","030712","00BD","0002",0
"08234900249","07/08/2012 23:49:00","P+",53,5,"8445",2,"270376",0,0,0,0,"9253","53",,,0
"08234901250","07/08/2012 23:49:01","Z ",57,3,"8641",5,"270068",605,1,1,1,,,,,0
"08234905251","07/08/2012 23:49:05","PP",59,5,"8662",3,"270453",0,0,0,0,"3BE","030712","00BD","0002",0
"08234905252","07/08/2012 23:49:05","P+",59,5,"8662",3,"270453",0,0,0,0,"459","459",,,0
"08234931253","07/08/2012 23:49:31","Z ",52,5,"8562",1,"270177",945,2,-11129,1,"FD",,,,0
