"Rec_id","Datum","Kod","LnNo","PorNo","EvCislo","Vozovna","FyzAdresa","A","B","C","D","E","F","G","H","Zapsano"
"01230456601","07/01/2012 23:04:56","V+",59,1,"8712",8,"270707",0,0,0,0,,,,,0
"01230456602","07/01/2012 23:04:56","PP",59,1,"8712",8,"270707",0,0,0,0,"3BE","290612","00BD","0002",0
"01230456603","07/01/2012 23:04:56","P+",59,1,"8712",8,"270707",0,0,0,0,"9059","459",,,0
"01231032604","07/01/2012 23:10:32","Z!",59,1,"8712",8,"270707",957,4,,0,,,,,0
"01231717605","07/01/2012 23:17:17","V+",51,1,"8327",7,"270247",0,0,0,0,,,,,0
"01231524606","07/01/2012 23:15:24","Z ",51,1,"8327",7,"270247",85,2,-9216,0,,,,,0
"01231717607","07/01/2012 23:17:17","PP",51,1,"8327",7,"270247",0,0,0,0,"3BE","290612","00BD","0002",0
"01231717608","07/01/2012 23:17:17","P+",51,1,"8327",7,"270247",0,0,0,0,"351","351",,,0
"01232024609","07/01/2012 23:20:24","Z ",59,1,"8712",8,"270707",957,3,-36,1,,,,,0
"01232118610","07/01/2012 23:21:18","M ",59,1,"8712",8,"270707",957,3,18,0,,"FA",,,0
"01232152611","07/01/2012 23:21:52","Z ",59,1,"8712",8,"270707",184,3,52,1,,,,,0
"01232245612","07/01/2012 23:22:45","Z ",59,1,"8712",8,"270707",319,1,45,1,,,,,0
"01232329613","07/01/2012 23:23:29","Z ",59,1,"8712",8,"270707",1044,1,29,1,,,,,0
"01232430614","07/01/2012 23:24:30","V+",56,4,"8174",7,"270359",0,0,0,0,,,,,0
"01232430615","07/01/2012 23:24:30","PP",56,4,"8174",7,"270359",0,0,0,0,"3BE","290612","00BD","0002",0
"01232430616","07/01/2012 23:24:30","P+",56,4,"8174",7,"270359",0,0,0,0,"9156","456",,,0
"01232430617","07/01/2012 23:24:30","PP",56,4,"8174",7,"270359",0,0,0,0,"3BE","290612","00BD","0002",0
"01232430618","07/01/2012 23:24:30","P+",56,4,"8174",7,"270359",0,0,0,0,"9156","456",,,0
"01232434619","07/01/2012 23:24:34","Z ",59,1,"8712",8,"270707",302,1,34,1,,,,,0
"01232445620","07/01/2012 23:24:45","M ",59,1,"8712",8,"270707",302,1,45,0,,"11",,,0
"01232509621","07/01/2012 23:25:09","V+",59,5,"8670",3,"270616",0,0,0,0,,,,,0
"01232509622","07/01/2012 23:25:09","PP",59,5,"8670",3,"270616",0,0,0,0,"3BE","220612","00BD","0002",0
"01232509623","07/01/2012 23:25:09","P+",59,5,"8670",3,"270616",0,0,0,0,"9559","459",,,0
"01232630624","07/01/2012 23:26:30","V+",53,1,"8436",2,"270259",0,0,0,0,,,,,0
"01232332625","07/01/2012 23:23:32","Z ",53,1,"8436",2,"270259",651,2,-10228,0,,,,,0
"01232630626","07/01/2012 23:26:30","PP",53,1,"8436",2,"270259",0,0,0,0,"3BE","290612","00BD","0002",0
"01232630627","07/01/2012 23:26:30","P+",53,1,"8436",2,"270259",0,0,0,0,"53","53",,,0
"01232641628","07/01/2012 23:26:41","Z ",59,1,"8712",8,"270707",5002,9,-19,1,,,,,0
"01232824629","07/01/2012 23:28:24","Z ",59,1,"8712",8,"270707",5040,3,-36,1,,,,,0
"01232921630","07/01/2012 23:29:21","V+",52,1,"8559",1,"270869",0,0,0,0,,,,,0
"01232441631","07/01/2012 23:24:41","Z ",52,1,"8559",1,"270869",72,2,-10279,0,,,,,0
"01232921632","07/01/2012 23:29:21","PP",52,1,"8559",1,"270869",0,0,0,0,"3BE","290612","00BD","0002",0
"01232921633","07/01/2012 23:29:21","P+",52,1,"8559",1,"270869",0,0,0,0,"52","52",,,0
"01232918634","07/01/2012 23:29:18","MK",59,1,"8712",8,"270707",5040,3,18,0,,"11",,,0
"01232946635","07/01/2012 23:29:46","Z ",59,1,"8712",8,"270707",1040,2,-14,1,,,,,0
"01233016636","07/01/2012 23:30:16","MK",59,1,"8712",8,"270707",1040,2,16,0,,"11",,,0
"01233032637","07/01/2012 23:30:32","Z!",56,4,"8174",7,"270359",866,2,,0,,,,,0
"01233032638","07/01/2012 23:30:32","Z!",59,5,"8670",3,"270616",807,2,,0,,,,,0
"01233041639","07/01/2012 23:30:41","Z ",59,5,"8670",3,"270616",807,1,-19,1,,,,,0
"01233105640","07/01/2012 23:31:05","M ",59,5,"8670",3,"270616",807,1,5,0,,"11",,,0
"01233209641","07/01/2012 23:32:09","Z ",59,1,"8712",8,"270707",25,2,9,1,,,,,0
"01233219642","07/01/2012 23:32:19","Z ",59,5,"8670",3,"270616",404,1,19,1,,,,,0
"01233302643","07/01/2012 23:33:02","Z ",59,5,"8670",3,"270616",358,1,2,1,,,,,0
