"Rec_id","Datum","Kod","LnNo","PorNo","EvCislo","Vozovna","FyzAdresa","A","B","C","D","E","F","G","H","Zapsano"
"28224035261","07/28/2012 22:40:35","V+",57,4,"8185",7,"270716",0,0,0,0,,,,,0
"28224035262","07/28/2012 22:40:35","PP",57,4,"8185",7,"270716",0,0,0,0,"3BE","260712","00BD","0002",0
"28224035263","07/28/2012 22:40:35","P+",57,4,"8185",7,"270716",0,0,0,0,"7335","257",,,0
"28225951264","07/28/2012 22:59:51","V+",59,1,"8733",8,"270212",0,0,0,0,,,,,0
"28225951265","07/28/2012 22:59:51","PP",59,1,"8733",8,"270212",0,0,0,0,"3BE","260712","00BD","0002",0
"28225951266","07/28/2012 22:59:51","P+",59,1,"8733",8,"270212",0,0,0,0,"9059","359",,,0
"28230105267","07/28/2012 23:01:05","MK",57,4,"8185",7,"270716",2670,3,5,0,,"11",,,0
"28230114268","07/28/2012 23:01:14","Z ",57,4,"8185",7,"270716",868,3,14,1,,,,,0
"28230229269","07/28/2012 23:02:29","Z ",57,4,"8185",7,"270716",283,1,29,1,,,,,0
"28230402270","07/28/2012 23:04:02","Z ",57,4,"8185",7,"270716",462,1,62,1,,,,,0
"28230532271","07/28/2012 23:05:32","Z!",59,1,"8733",8,"270212",957,4,,0,,,,,0
"28230602272","07/28/2012 23:06:02","Z ",57,4,"8185",7,"270716",73,1,122,1,,,,,0
"28230734273","07/28/2012 23:07:34","Z ",57,4,"8185",7,"270716",943,1,94,1,,,,,0
"28230804274","07/28/2012 23:08:04","Z ",57,4,"8185",7,"270716",157,1,64,1,,,,,0
"28230902275","07/28/2012 23:09:02","Z ",57,4,"8185",7,"270716",40,1,62,1,,,,,0
"28231055276","07/28/2012 23:10:55","Z ",57,4,"8185",7,"270716",130,1,115,1,,,,,0
"28231151277","07/28/2012 23:11:51","Z ",57,4,"8185",7,"270716",757,1,51,1,,,,,0
"28231302278","07/28/2012 23:13:02","MK",57,4,"8185",7,"270716",321,1,2,0,,"11",,,0
"28231354279","07/28/2012 23:13:54","Z ",57,4,"8185",7,"270716",250,3,-6,1,,,,,0
"28231437280","07/28/2012 23:14:37","V+",59,5,"8692",3,"270387",0,0,0,0,,,,,0
"28231437281","07/28/2012 23:14:37","PP",59,5,"8692",3,"270387",0,0,0,0,"3BE","260712","00BD","0002",0
"28231437282","07/28/2012 23:14:37","P+",59,5,"8692",3,"270387",0,0,0,0,"9559","9559",,,0
"28231736283","07/28/2012 23:17:36","Z ",57,4,"8185",7,"270716",163,1,-24,1,,,,,0
"28231807284","07/28/2012 23:18:07","MK",57,4,"8185",7,"270716",163,1,7,0,,"11",,,0
"28231907285","07/28/2012 23:19:07","Z ",57,4,"8185",7,"270716",187,1,-53,1,,,,,0
"28232032286","07/28/2012 23:20:32","Z!",59,5,"8692",3,"270387",807,2,,0,,,,,0
"28232043287","07/28/2012 23:20:43","Z ",59,1,"8733",8,"270212",957,3,-17,1,,,,,0
"28232105288","07/28/2012 23:21:05","M ",59,1,"8733",8,"270212",957,3,5,0,,"FA",,,0
"28232149289","07/28/2012 23:21:49","Z ",57,4,"8185",7,"270716",360,1,-71,1,,,,,0
"28232135290","07/28/2012 23:21:35","Z ",59,1,"8733",8,"270212",184,3,35,1,,,,,0
"28232217291","07/28/2012 23:22:17","Z ",59,1,"8733",8,"270212",319,1,17,1,,,,,0
"28232222292","07/28/2012 23:22:22","M ",57,4,"8185",7,"270716",360,1,-38,0,,"11",,,1
"28232307293","07/28/2012 23:23:07","Z ",59,1,"8733",8,"270212",1044,1,7,1,,,,,0
"28232410294","07/28/2012 23:24:10","Z ",59,1,"8733",8,"270212",302,1,10,1,,,,,0
"28232423295","07/28/2012 23:24:23","M ",59,1,"8733",8,"270212",302,1,23,0,,"11",,,0
"28232436296","07/28/2012 23:24:36","Z ",57,4,"8185",7,"270716",361,1,-24,1,,,,,0
"28232546297","07/28/2012 23:25:46","Z ",57,4,"8185",7,"270716",138,1,-14,1,,,,,0
"28232636298","07/28/2012 23:26:36","Z ",57,4,"8185",7,"270716",809,1,-84,1,,,,,0
"28232648299","07/28/2012 23:26:48","Z ",59,1,"8733",8,"270212",5002,9,-12,1,,,,,0
"28232654300","07/28/2012 23:26:54","V+",52,1,"8562",1,"270177",0,0,0,0,,,,,0
"28232405301","07/28/2012 23:24:05","Z ",52,1,"8562",1,"270177",72,2,-10315,0,,,,,0
"28232654302","07/28/2012 23:26:54","PP",52,1,"8562",1,"270177",0,0,0,0,"3BE","260712","00BD","0002",0
"28232654303","07/28/2012 23:26:54","P+",52,1,"8562",1,"270177",0,0,0,0,"52","52",,,0
"28232804304","07/28/2012 23:28:04","MK",57,4,"8185",7,"270716",809,1,4,0,,"11",,,0
"28232853305","07/28/2012 23:28:53","Z ",59,1,"8733",8,"270212",5040,3,-7,1,,,,,0
"28232919306","07/28/2012 23:29:19","MK",59,1,"8733",8,"270212",5040,3,19,0,,"11",,,0
"28232944307","07/28/2012 23:29:44","Z ",59,1,"8733",8,"270212",1040,2,-16,1,,,,,0
"28233008308","07/28/2012 23:30:08","Z ",57,4,"8185",7,"270716",483,1,8,1,,,,,0
"28233015309","07/28/2012 23:30:15","Z ",59,5,"8692",3,"270387",807,1,-45,1,,,,,0
"28233014310","07/28/2012 23:30:14","MK",59,1,"8733",8,"270212",1040,2,14,0,,"11",,,0
"28233104311","07/28/2012 23:31:04","M ",59,5,"8692",3,"270387",807,1,4,0,,"11",,,0
"28233121312","07/28/2012 23:31:21","Z ",57,4,"8185",7,"270716",539,1,-39,1,,,,,0
"28233137313","07/28/2012 23:31:37","Z ",59,1,"8733",8,"270212",25,2,-23,1,,,,,0
"28233141314","07/28/2012 23:31:41","Z ",59,5,"8692",3,"270387",404,1,-19,1,,,,,0
"28233203315","07/28/2012 23:32:03","MK",57,4,"8185",7,"270716",539,1,3,0,,"11",,,0
"28233220316","07/28/2012 23:32:20","Z ",59,5,"8692",3,"270387",358,1,-40,1,,,,,0
"28233232317","07/28/2012 23:32:32","PP",59,1,"8733",8,"270212",0,0,0,0,"3BE","260712","00BD","0002",0
"28233232318","07/28/2012 23:32:32","P+",59,1,"8733",8,"270212",0,0,0,0,"359","359",,,0
"28233239319","07/28/2012 23:32:39","Z ",57,4,"8185",7,"270716",5997,3,-21,1,,,,,0
"28233257320","07/28/2012 23:32:57","Z ",59,1,"8733",8,"270212",805,2,-3,1,,,,,0
"28233316321","07/28/2012 23:33:16","Z ",59,5,"8692",3,"270387",1071,11,-44,1,,,,,0
"28233352322","07/28/2012 23:33:52","Z ",57,4,"8185",7,"270716",237,2,-8,1,,,,,0
"28233357323","07/28/2012 23:33:57","Z ",59,1,"8733",8,"270212",254,2,-3,1,,,,,0
"28233409324","07/28/2012 23:34:09","Z ",59,5,"8692",3,"270387",70,1,-51,1,,,,,0
"28233444325","07/28/2012 23:34:44","M ",57,4,"8185",7,"270716",237,2,44,0,,"11",,,0
"28233502326","07/28/2012 23:35:02","MK",59,5,"8692",3,"270387",70,1,2,0,,"11",,,0
"28233520327","07/28/2012 23:35:20","Z ",59,1,"8733",8,"270212",240,2,20,1,,,,,0
"28233540328","07/28/2012 23:35:40","Z ",59,5,"8692",3,"270387",496,1,-20,1,,,,,0
"28233548329","07/28/2012 23:35:48","M ",59,1,"8733",8,"270212",240,2,48,0,,"11",,,0
"28233553330","07/28/2012 23:35:53","Z ",57,4,"8185",7,"270716",739,2,-7,1,,,,,0
"28233614331","07/28/2012 23:36:14","MK",57,4,"8185",7,"270716",739,2,14,0,,"11",,,0
"28233628332","07/28/2012 23:36:28","Z ",59,5,"8692",3,"270387",900,1,-32,1,,,,,0
"28233640333","07/28/2012 23:36:40","V+",54,5,"8656",3,"270502",0,0,0,0,,,,,0
"28233511334","07/28/2012 23:35:11","Z ",54,5,"8656",3,"270502",1019,2,-9409,0,,,,,0
"28233640335","07/28/2012 23:36:40","PP",54,5,"8656",3,"270502",0,0,0,0,"3BE","260712","00BD","0002",0
"28233640336","07/28/2012 23:36:40","P+",54,5,"8656",3,"270502",0,0,0,0,"254","254",,,0
"28233658337","07/28/2012 23:36:58","Z ",59,1,"8733",8,"270212",289,2,58,1,,,,,0
"28233711338","07/28/2012 23:37:11","M ",59,1,"8733",8,"270212",289,2,71,0,,"11",,,0
"28233717339","07/28/2012 23:37:17","V+",53,5,"8455",2,"270489",0,0,0,0,,,,,0
"28233717340","07/28/2012 23:37:17","PP",53,5,"8455",2,"270489",0,0,0,0,"3BE","260712","00BD","0002",0
